Year,Month,Country,Energy_Source,Production (TWh),Consumption (TWh),CO2_Emissions (Million Tonnes),Renewable_Share (%),Fossil_Fuel_Share (%),Nuclear_Share (%)
2020,January,Brazil,Hydro,3813,3709.003935,451,67.56,8.78,23.66
2020,January,Brazil,Nuclear,3507,3655.886592,110,2.85,5.55,91.6
2020,January,Brazil,Oil,2210,2420.66381,6463,0.51,46.72,52.77
2020,January,Brazil,Gas,3524,3651.361202,5272,4.89,89.14,5.97
2020,January,UK,Solar,4981,4563.446084,193,20.45,15.92,63.63
2020,January,UK,Wind,2377,2362.880922,107,46.18,13.04,40.78
2020,January,UK,Coal,658,612.0344288,4382,1.87,32.45,65.69
2020,January,UK,Hydro,709,684.3209728,429,6.08,12.68,81.24
2020,January,UK,Nuclear,196,190.0677067,208,1.74,15.36,82.89
2020,January,UK,Oil,2435,2599.464822,1902,3.41,36.81,59.78
2020,January,UK,Gas,4111,4271.973933,362,6.6,79.03,14.37
2020,January,Russia,Solar,1066,1069.546772,378,20.72,6.4,72.88
2020,January,Russia,Wind,3773,3816.98824,169,46.15,10.09,43.76
2020,January,Russia,Coal,3220,3349.030443,2355,8.97,83.23,7.8
2020,January,Russia,Hydro,3241,3492.352578,125,10.47,7.42,82.11
2020,January,Russia,Nuclear,1495,1545.527488,263,0.09,6.52,93.39
2020,January,Russia,Oil,148,162.0204496,3061,1.61,62.92,35.47
2020,January,Russia,Gas,2919,2888.890015,1056,2.24,72.73,25.03
2020,January,Japan,Solar,4543,4384.358166,413,28.82,16.16,55.02
2020,January,Japan,Wind,1268,1307.970629,42,40.27,12.63,47.1
2020,January,Japan,Coal,4615,4398.281785,6993,5.9,88.73,5.37
2020,January,Japan,Hydro,612,659.9864984,292,33.24,10.25,56.51
2020,January,Japan,Nuclear,1009,1082.489015,326,4.99,13.58,81.43
2020,January,Japan,Oil,3170,2880.644791,7439,9.4,87.24,3.36
2020,January,Japan,Gas,3494,3761.985623,5964,9.53,49.85,40.62
2020,January,France,Solar,351,383.7591683,108,68.72,6.13,25.15
2020,January,France,Wind,2350,2295.995932,480,22.45,12.28,65.27
2020,January,France,Coal,2115,2139.026934,5954,8.44,85.8,5.76
2020,January,France,Hydro,2783,2558.788436,297,48.62,10.38,41
2020,January,France,Nuclear,204,195.647856,483,7.41,15.46,77.14
2020,January,France,Oil,4391,4267.605129,5696,2.97,55.19,41.85
2020,January,France,Gas,1891,2029.826751,624,0.82,30.31,68.87
2020,January,Canada,Solar,4181,4430.434429,330,9.61,10.95,79.44
2020,January,Canada,Wind,2751,2965.580939,480,6.8,13.68,79.52
2020,January,Canada,Coal,2824,2921.160361,4246,4.66,62.56,32.79
2020,January,Canada,Hydro,1198,1279.208467,67,6.98,5.56,87.46
2020,January,Canada,Nuclear,4983,4786.934412,453,3.27,17.42,79.32
2020,January,Canada,Oil,3101,3389.549185,5322,0.85,33.1,66.05
2020,January,Canada,Gas,4192,4359.271038,7179,7.26,88.55,4.19
2020,January,South Korea,Solar,685,714.3995293,156,56.69,9.06,34.25
2020,January,South Korea,Wind,3725,3906.811769,355,6.65,19.44,73.91
2020,January,South Korea,Coal,2888,2846.594441,2031,4.09,40.4,55.51
2020,January,South Korea,Hydro,562,555.5203906,105,40.7,15.72,43.58
2020,January,South Korea,Nuclear,4633,5035.71333,394,9.55,16.07,74.38
2020,January,South Korea,Oil,1520,1500.444561,7104,4.2,44.86,50.94
2020,January,South Korea,Gas,1729,1610.959942,7353,0.14,36.96,62.89
2020,January,Australia,Solar,3168,2877.005769,247,68.67,7.63,23.7
2020,January,Australia,Wind,3009,2766.976598,441,57.45,10.19,32.36
2020,January,Australia,Coal,1807,1861.128209,5981,6.16,68.11,25.74
2020,January,Australia,Hydro,2899,2760.366123,403,45.68,12.55,41.77
2020,January,Australia,Nuclear,2866,2888.571153,13,6.16,19.16,74.68
2020,January,Australia,Oil,4642,4982.90749,6403,9.4,64.53,26.07
2020,January,Australia,Gas,3796,3904.784415,4100,8.11,79.24,12.65
2020,February,USA,Solar,3963,3730.518024,294,9.51,6.51,83.98
2020,February,USA,Wind,4019,3648.418566,251,49.4,6.07,44.54
2020,February,USA,Coal,825,806.0904425,7213,0.23,78.87,20.9
2020,February,USA,Hydro,666,665.4721889,323,50.29,14.43,35.28
2020,February,USA,Nuclear,462,419.4208166,226,8.03,9.23,82.73
2020,February,USA,Oil,3515,3461.200072,3067,8.07,89.43,2.5
2020,February,USA,Gas,4129,3821.546179,5204,7.76,50.45,41.79
2020,February,China,Solar,4182,3963.362414,192,53.81,16.32,29.88
2020,February,China,Wind,4002,4006.203999,377,30.33,9.46,60.21
2020,February,China,Coal,445,485.8101932,4271,3.55,87.41,9.04
2020,February,China,Hydro,2832,3087.223888,348,37.05,6.25,56.7
2020,February,China,Nuclear,3190,3058.068472,34,5.54,8.19,86.27
2020,February,China,Oil,3686,3900.952071,2716,1.13,85.86,13.01
2020,February,China,Gas,3032,3332.732705,4829,4.42,83.26,12.32
2020,February,Germany,Solar,4380,4560.30838,248,14.29,16.42,69.28
2020,February,Germany,Wind,2589,2778.964616,239,10.47,15.51,74.02
2020,February,Germany,Coal,3043,3281.508459,1317,0.81,35.09,64.1
2020,February,Germany,Hydro,2436,2475.611999,374,29.09,17.19,53.72
2020,February,Germany,Nuclear,560,605.6616951,310,7.53,10.64,81.82
2020,February,Germany,Oil,3536,3523.034894,3023,5.58,55.45,38.96
2020,February,Germany,Gas,3652,3368.018641,3622,2.54,54.31,43.15
2020,February,India,Solar,3759,3425.428803,485,54.87,17.34,27.79
2020,February,India,Wind,2008,2106.811624,470,20.44,11,68.56
2020,February,India,Coal,1581,1513.242162,923,5.28,56.18,38.54
2020,February,India,Hydro,2155,1944.738579,169,41.14,9.84,49.02
2020,February,India,Nuclear,4225,4248.407437,212,9.19,8.79,82.01
2020,February,India,Oil,3562,3578.454904,1356,2.17,47.67,50.16
2020,February,India,Gas,3634,3726.709213,3430,9.01,32.73,58.26
2020,February,Brazil,Solar,1403,1529.385462,465,30.64,6.6,62.75
2020,February,Brazil,Wind,4518,4316.841637,357,47.05,10.82,42.13
2020,February,Brazil,Coal,589,539.2571402,4236,2.6,57.19,40.21
2020,February,Brazil,Hydro,2558,2652.508468,422,13.66,6.14,80.2
2020,February,Brazil,Nuclear,4535,4942.968521,265,5.81,18.79,75.4
2020,February,Brazil,Oil,59,64.1061961,7509,5.52,39.89,54.59
2020,February,Brazil,Gas,1065,1038.686697,3236,4.8,89.12,6.08
2020,February,UK,Solar,4998,5247.478469,226,68.04,17.63,14.32
2020,February,UK,Wind,4050,4024.641459,108,13.7,5.21,81.09
2020,February,UK,Coal,4663,4841.792847,2856,10,89.8,0.2
2020,February,UK,Hydro,1510,1535.715159,62,66.41,17.74,15.85
2020,February,UK,Nuclear,2098,2288.519811,214,2.07,18.17,79.75
2020,February,UK,Oil,4633,4742.457628,3519,2.69,31.33,65.98
2020,February,UK,Gas,299,300.2144005,2265,8.31,48.47,43.22
2020,February,Russia,Solar,2034,2055.115702,398,10.75,16.88,72.38
2020,February,Russia,Wind,4769,4749.967843,416,54.08,14.3,31.61
2020,February,Russia,Coal,4723,5011.145193,2250,1.36,30.87,67.76
2020,February,Russia,Hydro,1379,1403.799298,295,41.06,6.37,52.57
2020,February,Russia,Nuclear,2067,2004.26881,175,4.51,18.66,76.83
2020,February,Russia,Oil,4687,4801.444073,7830,6.98,77.79,15.24
2020,February,Russia,Gas,187,202.9543772,5549,7.69,33.97,58.34
2020,February,Japan,Solar,4214,4618.571454,62,27.58,8.14,64.28
2020,February,Japan,Wind,4188,3970.34597,380,39.92,11.9,48.18
2020,February,Japan,Coal,3495,3633.169634,999,1.82,50.74,47.44
2020,February,Japan,Hydro,3316,3564.247436,164,48.39,7.58,44.02
2020,February,Japan,Nuclear,3172,2880.72705,14,3.45,10.21,86.33
2020,February,Japan,Oil,573,539.3458441,2693,1.29,49.81,48.91
2020,February,Japan,Gas,2346,2337.153419,2361,0.82,82.41,16.77
2020,February,France,Solar,2928,2856.138661,346,23,17.09,59.91
2020,February,France,Wind,4770,4862.80329,189,18.61,10.56,70.84
2020,February,France,Coal,4871,4613.924727,4223,3.69,57.75,38.56
2020,February,France,Hydro,414,377.7618648,196,21.41,15.7,62.89
2020,February,France,Nuclear,1696,1812.834276,372,5.32,6.61,88.07
2020,February,France,Oil,1956,1855.254461,5850,3.77,31.2,65.02
2020,February,France,Gas,2026,2164.055686,6329,3.27,37.19,59.54
2020,February,Canada,Solar,3646,3714.247617,77,28.08,14.73,57.19
2020,February,Canada,Wind,1219,1118.291166,120,52.89,13.37,33.74
2020,February,Canada,Coal,4057,4001.548556,6838,3.79,50.25,45.97
2020,February,Canada,Hydro,2789,2870.392637,235,20.88,12.47,66.64
2020,February,Canada,Nuclear,3862,4196.983565,446,1.02,7.29,91.69
2020,February,Canada,Oil,2613,2796.337235,3617,2.85,40.4,56.75
2020,February,Canada,Gas,2920,3119.911397,7142,5.25,54.62,40.13
2020,February,South Korea,Solar,2645,2908.048178,15,30.86,19.54,49.6
2020,February,South Korea,Wind,53,47.75618007,127,21.76,7.56,70.67
2020,February,South Korea,Coal,4339,4388.258839,5611,4.77,80.31,14.92
2020,February,South Korea,Hydro,1191,1241.24888,221,37.99,8.64,53.37
2020,February,South Korea,Nuclear,4704,4898.962074,151,2.89,13.72,83.4
2020,February,South Korea,Oil,4284,4654.149888,7088,5.33,33.11,61.56
2020,February,South Korea,Gas,4835,4790.777129,360,0.63,89.4,9.97
2020,February,Australia,Solar,2110,2187.889193,93,21.55,15.22,63.23
2020,February,Australia,Wind,2882,2661.063611,408,35.65,11.18,53.17
2020,February,Australia,Coal,3727,3433.833621,1704,8.31,87.9,3.79
2020,February,Australia,Hydro,4479,4866.825921,468,65.99,7.72,26.29
2020,February,Australia,Nuclear,1620,1758.169613,329,5.74,17.63,76.63
2020,February,Australia,Oil,3900,4130.308503,6513,8,79.51,12.5
2020,February,Australia,Gas,2948,3045.400281,7677,9.08,48.97,41.95
2020,March,USA,Solar,1115,1091.015259,305,34.38,15.71,49.92
2020,March,USA,Wind,3812,3906.615017,362,53.59,12.54,33.86
2020,March,USA,Coal,2762,2682.102218,3154,3.84,62.61,33.55
2020,March,USA,Hydro,3737,3534.473577,48,12.6,19.1,68.3
2020,March,USA,Nuclear,1252,1210.660366,457,1.67,18.18,80.15
2020,March,USA,Oil,2085,2185.6892,1022,7.89,39.1,53.01
2020,March,USA,Gas,1170,1218.433428,7678,7.44,32.01,60.55
2020,March,China,Solar,2695,2810.38054,14,61.99,10.13,27.88
2020,March,China,Wind,2903,2924.181073,312,60.02,6.91,33.07
2020,March,China,Coal,3278,3304.132634,3328,2.29,73.34,24.37
2020,March,China,Hydro,4275,3857.933627,124,50.11,13.14,36.75
2020,March,China,Nuclear,1884,1921.314265,157,1.82,18.63,79.56
2020,March,China,Oil,2647,2502.65961,6266,4.62,86.84,8.54
2020,March,China,Gas,2493,2698.349611,7883,5.06,66.69,28.25
2020,March,Germany,Solar,1689,1814.703456,469,11.64,18.78,69.57
2020,March,Germany,Wind,2985,2700.244495,136,14.92,13.64,71.44
2020,March,Germany,Coal,3499,3197.331293,4246,7.36,86.06,6.57
2020,March,Germany,Hydro,3847,4162.981961,266,12.36,19.77,67.87
2020,March,Germany,Nuclear,1695,1588.662778,480,9.21,18.05,72.74
2020,March,Germany,Oil,4712,4455.097633,6130,3.99,33.29,62.72
2020,March,Germany,Gas,251,266.2032431,4312,6.04,36.86,57.11
2020,March,India,Solar,586,628.6043261,303,27.51,10.2,62.28
2020,March,India,Wind,467,506.0836713,137,19.6,11.79,68.61
2020,March,India,Coal,1255,1173.773134,2090,1.66,32.03,66.31
2020,March,India,Hydro,4430,4501.401278,159,19.31,8.19,72.5
2020,March,India,Nuclear,3170,2965.874803,93,4.59,13.36,82.05
2020,March,India,Oil,391,358.574344,1824,1.84,47.98,50.18
2020,March,India,Gas,1809,1652.36827,2362,4.27,77.99,17.75
2020,March,Brazil,Solar,3439,3236.195045,294,45.62,10.67,43.71
2020,March,Brazil,Wind,3545,3607.004605,266,55.41,11.8,32.79
2020,March,Brazil,Coal,4339,4368.900822,5332,4.01,63.58,32.41
2020,March,Brazil,Hydro,4976,4580.887168,273,61.02,19.19,19.79
2020,March,Brazil,Nuclear,4945,4719.806534,476,6.44,11.13,82.43
2020,March,Brazil,Oil,104,96.84797403,5397,8.67,54.48,36.85
2020,March,Brazil,Gas,4458,4210.11038,6203,1.96,60.33,37.71
2020,March,UK,Solar,377,347.1497871,248,42.01,18.31,39.67
2020,March,UK,Wind,3725,3529.946172,427,57.35,19.83,22.82
2020,March,UK,Coal,1361,1457.820579,2638,9.63,86.66,3.71
2020,March,UK,Hydro,4327,4071.693409,232,26.06,6.3,67.64
2020,March,UK,Nuclear,4475,4104.030135,160,8.48,6.84,84.68
2020,March,UK,Oil,964,980.010413,6943,7.04,84.64,8.32
2020,March,UK,Gas,3644,3468.667798,1509,3.63,32.05,64.32
2020,March,Russia,Solar,1605,1644.851799,431,55.3,10.44,34.26
2020,March,Russia,Wind,3627,3818.219643,289,12.43,13.49,74.09
2020,March,Russia,Coal,2156,2326.13092,4323,1.82,59.09,39.09
2020,March,Russia,Hydro,3330,3175.939121,49,50.42,11.04,38.54
2020,March,Russia,Nuclear,1351,1441.49815,13,1.32,18.51,80.17
2020,March,Russia,Oil,2707,2583.727187,174,8.23,61.78,29.99
2020,March,Russia,Gas,2139,2171.733748,7177,0.67,54.31,45.01
2020,March,Japan,Solar,4733,4455.098376,371,14.1,8.96,76.94
2020,March,Japan,Wind,695,727.2736564,107,44.03,14.98,40.99
2020,March,Japan,Coal,504,511.3880733,3572,4.19,52.99,42.82
2020,March,Japan,Hydro,2731,2688.416096,139,15.81,16.07,68.12
2020,March,Japan,Nuclear,2916,2677.084515,380,2.45,10.84,86.71
2020,March,Japan,Oil,2108,2047.151617,1236,7.22,66.62,26.16
2020,March,Japan,Gas,1383,1376.375541,6866,9.54,38.1,52.36
2020,March,France,Solar,1835,1662.944211,157,15.53,17.62,66.85
2020,March,France,Wind,3970,3967.1148,374,15.05,14.35,70.6
2020,March,France,Coal,1574,1525.011999,2443,7.28,59.73,32.99
2020,March,France,Hydro,988,1007.421325,34,21.02,17.29,61.7
2020,March,France,Nuclear,1302,1172.409177,444,2.72,13.85,83.43
2020,March,France,Oil,2372,2284.044607,4190,9.62,77.4,12.98
2020,March,France,Gas,3690,3650.15226,4207,5.42,82.38,12.2
2020,March,Canada,Solar,4112,4364.115888,224,52.07,14.56,33.37
2020,March,Canada,Wind,3776,3921.88592,498,66.36,5.59,28.04
2020,March,Canada,Coal,4923,5009.904495,500,1.81,64.08,34.12
2020,March,Canada,Hydro,4395,4230.499419,344,50.33,9.46,40.21
2020,March,Canada,Nuclear,1571,1546.417828,486,4.74,17.93,77.33
2020,March,Canada,Oil,984,975.1722772,1566,8.29,32.22,59.49
2020,March,Canada,Gas,1232,1198.661402,2767,1.21,34.62,64.18
2020,March,South Korea,Solar,3033,2997.230109,480,9.25,9.73,81.02
2020,March,South Korea,Wind,3637,3848.47203,418,52.96,12.8,34.24
2020,March,South Korea,Coal,542,554.5595696,7137,4.18,57.72,38.11
2020,March,South Korea,Hydro,595,538.0310599,256,17.06,10.76,72.18
2020,March,South Korea,Nuclear,3860,3528.062933,311,3.51,16.51,79.99
2020,March,South Korea,Oil,4622,4194.554457,4943,6.28,82.42,11.3
2020,March,South Korea,Gas,1312,1285.31061,7169,4.18,55.28,40.54
2020,March,Australia,Solar,4534,4744.624075,186,12.18,10.32,77.5
2020,March,Australia,Wind,2083,1998.141963,455,43.29,9.16,47.55
2020,March,Australia,Coal,2682,2472.51842,7611,1.24,87.38,11.37
2020,March,Australia,Hydro,1878,1985.551187,436,43.26,19.73,37.01
2020,March,Australia,Nuclear,3465,3442.409247,342,9.89,16.15,73.96
2020,March,Australia,Oil,4917,4653.125951,7927,8.38,43.83,47.79
2020,March,Australia,Gas,3614,3339.580857,7374,1.77,43.23,55.01
2020,April,USA,Solar,2850,3110.64405,385,27.76,5.87,66.37
2020,April,USA,Wind,776,835.5635693,108,43.82,12.88,43.3
2020,April,USA,Coal,1964,1923.243865,2837,4.91,89.78,5.31
2020,April,USA,Hydro,52,55.2846645,495,45.49,16.22,38.29
2020,April,USA,Nuclear,3210,3269.667438,407,8.6,11.86,79.54
2020,April,USA,Oil,2732,2529.566953,7916,0.44,81.13,18.42
2020,April,USA,Gas,4315,4582.112372,4235,9.32,74.11,16.57
2020,April,China,Solar,1033,981.8973028,47,21.88,15.85,62.26
2020,April,China,Wind,963,882.3095012,325,12.12,18.42,69.47
2020,April,China,Coal,4738,4322.493534,1424,4.81,65.54,29.65
2020,April,China,Hydro,2795,2834.867289,49,49.07,13.49,37.44
2020,April,China,Nuclear,1362,1465.138808,156,8.68,8.68,82.64
2020,April,China,Oil,1754,1695.770315,2704,6.97,70.81,22.22
2020,April,China,Gas,4336,4508.564768,4895,1.59,82.85,15.56
2020,April,Germany,Solar,875,868.9572515,40,58.68,6.93,34.39
2020,April,Germany,Wind,3558,3731.280475,424,5.07,13.34,81.58
2020,April,Germany,Coal,638,638.9528828,394,1.93,35.05,63.02
2020,April,Germany,Hydro,1740,1907.45279,26,12.53,10.65,76.82
2020,April,Germany,Nuclear,4593,4629.73057,172,1.28,9.25,89.47
2020,April,Germany,Oil,3576,3605.513857,1347,8.4,53.53,38.07
2020,April,Germany,Gas,2432,2642.138471,5184,7.89,40.43,51.69
2020,April,India,Solar,4629,4228.903549,228,15.81,16.56,67.62
2020,April,India,Wind,935,906.1801317,483,9.86,17.79,72.36
2020,April,India,Coal,4849,5019.735479,4911,7.5,37.81,54.7
2020,April,India,Hydro,2478,2420.318236,38,6.44,9.85,83.71
2020,April,India,Nuclear,4049,4267.975927,67,0.01,7.38,92.61
2020,April,India,Oil,4883,5368.491787,6196,1.02,81.25,17.73
2020,April,India,Gas,3392,3591.998798,2304,2.98,80.4,16.62
2020,April,Brazil,Solar,3205,3304.041688,36,61.42,19.45,19.13
2020,April,Brazil,Wind,3561,3512.808845,30,64.12,17.86,18.02
2020,April,Brazil,Coal,4229,4142.385342,6172,4.42,48.72,46.86
2020,April,Brazil,Hydro,4715,5086.635549,24,53.48,8.01,38.52
2020,April,Brazil,Nuclear,3106,3200.215432,21,5.63,12.07,82.3
2020,April,Brazil,Oil,3660,4002.717589,6673,2.04,35.47,62.49
2020,April,Brazil,Gas,569,599.8309059,5905,5.3,31.07,63.62
2020,April,UK,Solar,4494,4162.562896,190,64.27,19.51,16.22
2020,April,UK,Wind,576,573.8713749,215,43.89,14.11,42
2020,April,UK,Coal,1925,1898.16777,5897,2.26,39.65,58.1
2020,April,UK,Hydro,166,168.9967628,81,25.17,11.83,63
2020,April,UK,Nuclear,4217,4187.142456,487,3.92,12.2,83.88
2020,April,UK,Oil,4752,4962.882002,6254,6.95,81.61,11.44
2020,April,UK,Gas,4247,4593.401164,878,4.81,36.3,58.9
2020,April,Russia,Solar,2498,2299.555085,55,14.26,12.48,73.25
2020,April,Russia,Wind,2770,2803.045371,425,66.18,6.09,27.73
2020,April,Russia,Coal,2898,3119.716408,2049,0.33,34.71,64.95
2020,April,Russia,Hydro,967,932.5931154,175,41.89,15.34,42.77
2020,April,Russia,Nuclear,4288,4030.848849,384,6.7,19.27,74.02
2020,April,Russia,Oil,366,381.1140232,2025,5.95,67,27.06
2020,April,Russia,Gas,2320,2339.1615,7637,9.35,86.84,3.81
2020,April,Japan,Solar,3439,3633.938151,120,57.96,6.2,35.83
2020,April,Japan,Wind,257,259.4462481,323,55.95,12.21,31.84
2020,April,Japan,Coal,4954,4621.090686,4209,0.82,33.62,65.56
2020,April,Japan,Hydro,2184,2249.6485,34,61.67,8.29,30.05
2020,April,Japan,Nuclear,3688,3666.00668,182,1.82,16.85,81.33
2020,April,Japan,Oil,4840,4398.264485,3765,0.21,69.2,30.6
2020,April,Japan,Gas,4694,5159.95828,3020,4.93,34.89,60.18
2020,April,France,Solar,804,832.9807014,102,32.2,8.05,59.75
2020,April,France,Wind,952,944.883411,359,67.45,11.24,21.31
2020,April,France,Coal,2121,2089.394272,4711,7.35,76.06,16.58
2020,April,France,Hydro,1005,912.5619475,186,38.41,13.82,47.77
2020,April,France,Nuclear,1323,1382.603177,237,8.73,18.51,72.76
2020,April,France,Oil,1847,1904.26045,4950,5.92,84.74,9.33
2020,April,France,Gas,3764,3856.569244,3723,8.36,44.15,47.49
2020,April,Canada,Solar,4939,5152.1919,249,44.12,14.49,41.39
2020,April,Canada,Wind,575,629.2104358,384,31.85,6.04,62.12
2020,April,Canada,Coal,4698,4460.498318,6047,4.05,65.58,30.37
2020,April,Canada,Hydro,2328,2262.459057,139,11.19,14.78,74.03
2020,April,Canada,Nuclear,3978,4351.464444,75,8.58,5.14,86.28
2020,April,Canada,Oil,4605,4265.034642,4496,2.37,44.08,53.55
2020,April,Canada,Gas,3131,2863.923663,369,3.31,56.93,39.76
2020,April,South Korea,Solar,2941,3134.449196,266,34.21,13.82,51.97
2020,April,South Korea,Wind,2410,2249.5142,477,29.66,14.08,56.26
2020,April,South Korea,Coal,2784,2875.206361,2312,7.82,72.32,19.86
2020,April,South Korea,Hydro,2253,2417.11581,399,18.38,6.68,74.94
2020,April,South Korea,Nuclear,4003,4392.6464,466,5.31,19.05,75.64
2020,April,South Korea,Oil,2894,2975.033717,1158,4.52,86.03,9.45
2020,April,South Korea,Gas,1058,1075.91632,1135,1.48,89.2,9.32
2020,April,Australia,Solar,1289,1336.942482,135,66.87,14.59,18.55
2020,April,Australia,Wind,1258,1278.156237,193,38.51,12.33,49.15
2020,April,Australia,Coal,3973,3675.614205,5857,3.08,72.28,24.64
2020,April,Australia,Hydro,2843,2975.426325,17,68.04,6.41,25.55
2020,April,Australia,Nuclear,1849,1721.84939,367,8.68,7.66,83.66
2020,April,Australia,Oil,3923,4049.816742,5338,9.45,70.99,19.56
2020,April,Australia,Gas,4099,4195.611168,3819,8.65,76.11,15.24
2020,May,USA,Solar,1036,1125.29257,311,64.71,14.01,21.28
2020,May,USA,Wind,3174,3279.993519,370,11.93,14.87,73.2
2020,May,USA,Coal,753,684.9607331,5804,8.66,89.6,1.74
2020,May,USA,Hydro,2682,2462.334381,168,53,18.18,28.82
2020,May,USA,Nuclear,3223,3111.505576,111,4.38,18.52,77.1
2020,May,USA,Oil,1050,1011.611101,1488,8.18,37.21,54.61
2020,May,USA,Gas,871,896.9688056,2872,3.25,51.99,44.77
2020,May,China,Solar,4856,4917.611886,412,30.26,11.73,58.01
2020,May,China,Wind,4450,4490.661331,300,19.77,6.1,74.13
2020,May,China,Coal,3065,3168.114446,2989,7.59,60.03,32.38
2020,May,China,Hydro,3915,4268.507712,459,36.15,5.38,58.47
2020,May,China,Nuclear,1227,1131.028561,142,3.99,13.7,82.31
2020,May,China,Oil,3421,3405.055044,142,7.65,78.78,13.57
2020,May,China,Gas,2595,2706.839781,6670,0.18,41.75,58.07
2020,May,Germany,Solar,1064,1148.420801,126,63.37,8.65,27.98
2020,May,Germany,Wind,764,745.675385,333,65.74,10.27,23.99
2020,May,Germany,Coal,1013,963.7229326,3735,6.7,85.78,7.52
2020,May,Germany,Hydro,155,158.4203473,155,30.99,19.65,49.36
2020,May,Germany,Nuclear,2187,2021.612977,468,1.23,17.89,80.88
2020,May,Germany,Oil,3704,3552.342157,7508,5.67,45.39,48.93
2020,May,Germany,Gas,85,83.71696623,4057,8.06,63.01,28.93
2020,May,India,Solar,1758,1804.816024,388,5.17,14.57,80.26
2020,May,India,Wind,1350,1453.735745,402,56.59,14.7,28.71
2020,May,India,Coal,2475,2406.082397,6925,9,51.21,39.79
2020,May,India,Hydro,3275,3114.947474,77,22.86,17.34,59.8
2020,May,India,Nuclear,3323,3528.713622,412,6.24,11.78,81.98
2020,May,India,Oil,4726,4412.207029,582,8.69,58.37,32.93
2020,May,India,Gas,711,643.2614069,7922,2.3,42.37,55.33
2020,May,Brazil,Solar,1596,1510.437513,87,46.08,5.88,48.04
2020,May,Brazil,Wind,819,782.0696936,272,50.18,11.06,38.75
2020,May,Brazil,Coal,4058,4214.18118,5194,3.41,79.12,17.47
2020,May,Brazil,Hydro,1291,1248.972046,297,22.82,6.19,70.99
2020,May,Brazil,Nuclear,4889,5031.064403,173,1.92,9.85,88.23
2020,May,Brazil,Oil,1964,1902.550554,3146,0.69,61.14,38.16
2020,May,Brazil,Gas,3763,3890.642929,2575,2.34,62.4,35.26
2020,May,UK,Solar,1785,1838.863221,309,26.08,10,63.92
2020,May,UK,Wind,2824,2755.363484,111,41.26,15.96,42.78
2020,May,UK,Coal,4261,3886.153304,3983,0.89,87.7,11.41
2020,May,UK,Hydro,2384,2505.506673,320,39.83,6.45,53.72
2020,May,UK,Nuclear,682,725.8943989,21,3.48,14.97,81.55
2020,May,UK,Oil,2612,2835.157693,336,1.2,88.45,10.35
2020,May,UK,Gas,4775,5245.321745,4043,7.69,44.62,47.69
2020,May,Russia,Solar,335,336.4041845,463,21.71,16.82,61.47
2020,May,Russia,Wind,4945,4576.808635,281,37.94,7.39,54.67
2020,May,Russia,Coal,2606,2364.24679,4676,2.27,50.5,47.23
2020,May,Russia,Hydro,2458,2255.285174,484,20.54,12.65,66.82
2020,May,Russia,Nuclear,4980,4877.393591,416,9.42,18.1,72.48
